Company,TypeName,Ram,Weight,Price,Touchscreen,Ips,PPi,Cpu brand,HDD,SSD,Gpu brand,Os
Apple,Ultrabook,8,8.0,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,8.0,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,8.0,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,16,16.0,135195.33599999998,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,8.0,96095.808,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,4.0,21312.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,16.0,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,8.0,61735.536,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,16.0,79653.59999999999,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,8.0,41025.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,4.0,20986.992,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others/No OS/Linux
HP,Notebook,4,4.0,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,16.0,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,4.0,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,8.0,67260.672,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,8.0,80908.344,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,8.0,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,16.0,152274.24,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,8.0,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,8.0,52161.12,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,2.0,10224.432,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,8.0,53226.72,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,4.0,13746.24,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,8.0,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,8.0,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,4.0,22305.1392,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,8.0,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,8.0,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,8.0,69157.44,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,8.0,47738.88,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,4.0,13053.0672,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,2.0,10602.72,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,4.0,23389.92,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,16.0,99580.32,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,8.0,53173.44,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,4.0,13266.72,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,4.0,19553.76,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,8.0,52161.12,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,4.0,26037.4032,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,8.0,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,4.0,20725.92,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,16,16.0,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,8.0,27864.9072,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,4.0,36336.96,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,12.0,53226.72,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,8.0,75604.31999999999,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,4.0,19660.32,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,8,8.0,69210.72,0,0,127.33567457123111,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,4.0,34045.92,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,4.0,24828.48,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,4.0,16996.32,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,8.0,44808.48,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,4.0,21231.5472,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,8.0,58767.84,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,4.0,20459.52,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,8.0,40908.384,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,4.0,23389.92,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,4.0,31232.203200000004,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,16.0,130482.72,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,4.0,22111.2,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,16,16.0,69210.72,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,8.0,46833.12,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,8.0,31914.72,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,8,8.0,50136.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,8.0,36763.2,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,16.0,105654.24,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,4.0,23373.4032,0,0,100.45466986113651,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,4.0,12201.12,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,4.0,29250.72,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,12.0,50562.72,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,4.0,58021.92,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,8.0,50882.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,8.0,46353.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,8.0,58341.6,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,8.0,20725.92,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,8.0,50562.72,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,8.0,27652.32,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,8.0,45554.4,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,4.0,28238.4,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,8.0,52054.56,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,8.0,58403.4048,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,8.0,80452.8,0,1,226.41554716935852,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,8.0,45820.8,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,4.0,21258.72,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,4.0,21045.6,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,16.0,71874.72,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,8.0,37242.72,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,8.0,31914.1872,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,16.0,77202.72,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,8.0,87858.72,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,8.0,37242.72,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,8.0,36709.92,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,16.0,63776.16,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,8.0,63669.6,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,8.0,55890.72,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,8.0,45128.16,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,8.0,31962.672,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others/No OS/Linux
Dell,Notebook,4,4.0,25840.8,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others/No OS/Linux
Asus,Notebook,6,6.0,30742.56,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,12.0,66546.72,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,8.0,38308.32,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,4.0,18594.72,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,8.0,34472.16,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others/No OS/Linux
HP,Ultrabook,8,8.0,59620.32,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,8.0,71395.2,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,6.0,35111.52,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,4.0,22105.872,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,8.0,63563.04,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,16.0,69210.72,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,8.0,78854.4,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,16.0,67239.36,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,8.0,73473.12,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,8.0,74538.72,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,4.0,38468.16,0,1,111.93520355955211,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,8.0,86793.12,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,8.0,74538.1872,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,8.0,57755.52,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,8.0,60223.98239999999,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,4.0,30049.92,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,8.0,59567.04,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,6.0,25521.12,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,16.0,119427.12,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,8.0,33513.119999999995,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
HP,Notebook,16,16.0,67718.88,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,4.0,24029.28,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,4.0,13799.52,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Others/No OS/Linux
HP,Notebook,8,8.0,43263.36,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,4.0,14811.3072,0,0,111.93520355955211,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,16.0,74378.87999999999,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,8.0,49443.84,0,0,127.33567457123111,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,8.0,34045.3872,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,4.0,23922.72,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,8.0,47099.52,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,4.0,30476.16,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,8.0,31861.44,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,8.0,52640.64,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,4.0,13445.7408,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
Asus,Gaming,8,8.0,49976.64,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,4.0,26586.72,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,4,4.0,37242.72,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,4.0,34898.4,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,8.0,59461.5456,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,8.0,46300.32,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,4.0,32074.56,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,4.0,19660.32,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,8.0,58554.72,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,8.0,107305.92,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,4.0,18328.32,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,16.0,108105.12,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,4.0,23816.16,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,16.0,66560.5728,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,8.0,47898.72,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,4.0,26533.44,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,16.0,100699.2,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,4.0,57648.96,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,6.0,32980.32,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,4.0,33513.119999999995,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,8.0,70063.2,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,8.0,55890.72,1,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,4.0,23816.16,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,4.0,21471.84,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
